Component List
--------------

"Report Written:","Wednesday, February 10, 2021"
"Project Path:","C:\projects\radio_interface\DesignSpark\radio_interface.prj"
"Design Path:","C:\projects\radio_interface\DesignSpark\radio_interface.pcb"
"Design Title:",
"Created:","1/28/2021 1:03:58 PM"
"Last Saved:","2/10/2021 9:54:25 AM"
"Editing Time:","19019 min"
"Units:","thou (precision 0)"

"Ref Name","Value","Manufacturer","Manufacturer Part Number","Digikey Number","Mouser Value"
"U10","","","Y: LTL-553-11 R:","Y: 160-1978-ND, R: 160-1976-ND, G: 160-1977-ND","G: 859-LTL-533-11, R: 859-LTL-523-11, Y: 859-LTL-553-11"
"U11","","","WinKeyer","",""
"U12","","","MAX232DR","","595-MAX232DR"
"U13","","","140816141310","732-140816141310-ND","710-140816141310"
"U14","","","Y: LTL-553-11 R:","Y: 160-1978-ND, R: 160-1976-ND, G: 160-1977-ND","G: 859-LTL-533-11, R: 859-LTL-523-11, Y: 859-LTL-553-11"
"U15","","","SI8621BC-B-IS","","634-SI8621BC-B-IS"
"U16","","","Y: LTL-553-11 R:","Y: 160-1978-ND, R: 160-1976-ND, G: 160-1977-ND","G: 859-LTL-533-11, R: 859-LTL-523-11, Y: 859-LTL-553-11"
"U17","","","RFM-0505S","","919-RFM-0505S"
"U18","","","Y: LTL-553-11 R:","Y: 160-1978-ND, R: 160-1976-ND, G: 160-1977-ND","G: 859-LTL-533-11, R: 859-LTL-523-11, Y: 859-LTL-553-11"
"U19","","","SSM6N7002KFU,LF","SSM6N7002KFULFCT-ND","757-SSM6N7002KFULF"
"U20","","","SSM6N7002KFU,LF","SSM6N7002KFULFCT-ND","757-SSM6N7002KFULF"
"U21","","","","","771-MMBT3904T/R"
"U22","","","FT231XS-U","768-1156-5-ND","895-FT231XS-U"
"U23","","","FT231XS-U","768-1156-5-ND","895-FT231XS-U"
"U24","","","OPA1678IDR","296-47347-1-ND","595-OPA1678IDR"
"U25","","","USB2513B/M2","USB2513B/M2-ND","579-USB2513B/M2"
"U26","","","PCM2903CDBR","296-34778-1-ND","595-PCM2903CDBR"
"Y1","24MHz","","","2151-RH100-24.000-10-1010-TRCT-ND","669-EA2532UA12-24"
"Y2","12MHz","","","2151-RH100-12.000-10-2020-EXT-TRCT-ND","520-120-10-33-AGLT"
--------------------------------------------------------------------------------------------
